光学字符识别	OCR
不经济	uneconomic
不经济	uneconomical
不结盟	unaligned
不结盟	nonaligned
不统一	disunity
不美	unlovely
不美观地	unaesthetically
不耐烦	impatience
不耐烦地	impatiently
不耐烦的	impatient
不聚焦的	unfocused
不育	sterility
不育	infertility
不育的	infecund
不育的	infertile
不能	can't
不能	cannot
不能手术	inoperable
不腐败的	uncorrupt
不自信	unassertive
不自然	unnatural
不自然	unnaturalness
不自然地	unnaturally
不舒服	uncomfortable
不舒服地	uncomfortably
不舒适的	comfortless
不般配的婚姻	mismarriage
不良	undesirable
不虔诚	irreligious
不表态	noncommittal
不褪	unfading
不褪色	colorfast
不褪色	colourfast
不褪色的	fadeless
不要	don't
不观察的	unobservant
不规则地	irregularly
不规则性	irregularity
不规则现象	irregularities
不规则的	irregular
不讨喜	unpleasing
不论	irrespective
不论	irrespectively
不识字的	unlettered
不诚实	dishonest
不诚实	dishonesty
不诚实地	dishonestly
不该	oughtn't
不该	shouldn't
不详	chiarnlurng
不谦虚的	immodest
不谨慎	unwary
不贞	unchaste
不贞	unchastity
不负责任	irresponsibly
不负责任	irresponsible
不费力的	toilless
不赞成	disapprove
不赞成	disapproval
不起眼的	unimposing
不越位	onside
不足	deficient
不足	inadequacy
不足地	scantly
不足地	scantily
不足的	scant
不足的	scanty
不迁就	unaccommodating
不进步	unprogressive
不连续	nonconsecutively
不连续性	discontinuity
不连续性	discontinuities
不连续的	discontinuous
不连贯	incoherence
不连贯	inconsequent
不连贯地	incoherently
不连贯地	inconsequently
不连贯的	incoherent
不适	unwell
不适	malaise
不适合	unfit
不适合	unsuited
不适合工作	Not Safe For Work
不适合工作	Not Suitable For Work
不适合的	unfitted
不适宜	unapt
不适当	inapt
不适当	unmeet
不适用	inapplicable
不适航	unseaworthy
不透射线的	radiopaque
不透明	opacity
不透明	nontransparent
不透明地	opaquely
不透明性	opaqueness
不透明的	opaque
不透热性	athermancy
不通风的	airless
不道德	unethical
不道德的	immoral
不遵守	nonobservance
不遵守	noncompliance
不重要	unimportance
不重要	inconsequential
不重要地	inconsequentially
不重要的	unimportant
不锈钢	stainless
不间断	uninterrupted
不间断地	uninterruptedly
不间断电源	UPS
不间断的	unremitting
不雅	inelegant
不雅	indelicate
不雅的	uncomely
不雅的	graceless
不需要	unwanted
不需要	unneeded
不领情	unappreciative
不领情	inappreciative
不饱和	unsaturated
与	with
与会者	conferee
与格	dative
与此	therewith
与此同时	meanwhile
与生俱来的权利	birthright
与非	nand
丑化	uglify
丑恶的	seamy
丑角	harlequin
丑闻	scandal
丑陋	ugly
丑陋	ugliness
专业	majors
专业	specialty
专业人士	professionals
专业地	professionally
专业的	specialized
专业的	professional
专业精神	professionalism
专利	patent
专利人	patenter
专利人	patentor
专利权人	patentee
专制	autarchy
专制	despotism
专制主义	absolutism
专制主义者	absolutist
专制地	despotically
专制地	autocratically
专制政体	autocracies
专制的	despotic
专制的	autocratic
专员	commissioner
专家	mavin
专家	maven
专攻	specialise
专攻	specialize
专有	proprietary
专有性	exclusivity
专栏作家	columnist
专横	bossy
专横	domineer
专横地	imperiously
专横地	peremptorily
专横的	imperious
专横的	peremptory
专注	intentness
专注	attentiveness
专注写作	OmmWriter
专注地	raptly
专注地	intently
专注的	rapt
专注的	focused
专著	monograph
专著作者	monographer
专著的	monographic
专长	expertise
专长	specialism
专门	exclusively
专题论文	disquisition
世仇	feud
世仇	vendetta
世仇者	feudist
世代	generations
世代交替	metagenesis
世俗	laic
世俗	worldly
世俗主义	laicism
世俗主义	secularism
世俗主义者	secularist
世俗化	secularise
世俗化	secularization
世俗性	secularity
世嘉	sega
世界	world
世界	monde
世界主义者	cosmopolitain
世界冠军	worldbeater
世界大战	World War
世界币	Worldcoin
世界性	worldsex
世界性的	cosmopolitan
世界政治的	cosmopolitical
世界景画	cosmorama
世界猫	WorldCat
世界语	esperanto
世界都市	cosmopolis
世系	stirps
世系	ancestry
世纪	century
世纪	centuries
世贸组织	WTO
丘吉尔	Churchill
丘吉尔式的	Churchillian
丘比特	Cupid
丘疹	papula
丘脑	thalamus
丘鹬	woodcock
丙基	propyl
丙烯	propylene
丙烯酸	acrylic
丙烷	propane
丙酮	acetone
业	karma
业主	proprietor
业余	amature
业余	amatuer
业余主义	amateurism
业余爱好者	dilettante
业余的	amateurish
业余者	amateurs
丛	plex
丛	plexus
丛放大器	plexamp
丛林	jungle
丛林人	bushman
丛林战	bushfighting
丛林般的	jungly
东	east
东京	Tokyo
东京	tonkin
东北	northeast
东北的	northeastern
东北风	northeaster
东南	southeast
东南向	southeasterly
东南向	southeastward
东南部	southeastern
东南风	southeaster
东哥特人	ostrogoth
东德马克	ostmark
东方	Orient
东方人	Orientals
东方化	orientalise
东方化	Orientalize
东方的	easterly
东方的	Oriental
东盟	ASEAN
东芝	Toshiba
东行	easting
东西	stuff
东西	thing
东部人	easterner
东部的	eastern
丝光处理	mercerise
丝光处理	mercerize
丝兰	yucca
丝印	serigraph
丝印术	serigraphy
丝带	ribbon
丝心蛋白	fibroin
丝毫	whit
丝毫	scintilla
丝氨酸	ser
丝滑	silky
丝滑	sericeous
丝滑地	silkily
丝滑的	flossy
丝滑霜	Silkine
丝状的	filamentous
丝状的	filamentary
丝的	filar
丝绒	velure
丝绒	velours
丝绸	silk
丝般	silken
丢勒	Durer
丢勒作品	Durers
丢失	Lost
丢弃	discard
丢弃的	discarded
丢番图的	Diophantine
丢脸	discreditable
两	tael
两便士	twopence
两便士的	twopenny
两倍	twifold
两党的	biparty
两党的	bipartisan
两周	fortnight
两头政治	diarchy
两年一次的	biennial
两年期	biennium
两性的	amphoteric
两性离子	zwitterion
两月的	bimestrial
两栖动物	amphibian
两栖地	amphibiously
两栖登陆车	amtrac
两栖的	amphibious
两栖部队	amphibioustroops
两次	twice
两者	both
两耳草	knotgrass
两脚架	bipod
两足动物	biped
两足的	bipedal
两部分的	bipartite
两院制	bicameral
严	yan
严厉	harsh
严厉	sternness
严厉地	sternly
严厉地	roundly
严厉批评	excoriate
严厉批评	excoriation
严厉的	stern
严厉的	scathing
严峻	grimness
严峻的	grim
严格	rigor
严格	strict
严格地	strictly
严格地	straitly
严格性	strictness
严格的	rigorous
严格管制	regimentation
严格管制的	regimented
严格者	martinet
严肃	serious
严肃的	derious
严肃者	sobersides
严谨	rigour
严谨	punctilious
严谨者	precisian
严酷	rigors
严酷	harshness
严酷的	Draconian
严重	severity
严重	graveness
严重地	badly
严重地	gravely
严重性	severities
严重性	seriousness
严重的	grave
严重的	severe
丧亲	beravement
丧亲	bereavement
丧亲者	bereaved
丧偶的	widowed
丧失	bereft
丧钟	knell
个人	personal
个人	individual
个人主义	privatism
个人主义	individualism
个人主义的	individualistic
个人主义者	individualist
个人广告	personals
个人电脑	PC
个人电脑存储卡	PCMCIA
个体化	individuation
个体发生	ontogenesis
个体发育	ontogeny
个性	personality
个性	personalities
个性化	pn
个性化	personalize
个性化的	individualized
个案工作	casework
中	mid
中世纪	medieval
中产阶级	bourgeoisie
中介	intermediary
中介	intermediation
中位数	median
中兴	ZTE
中午	noon
中卫	halfback
中号	midi
中和	neutralize
中和	neutralise
中和中	neutralizing
中国	CN
中国	Sino-
中国中央电视台	CCTV
中国中央电视台	China Central Television
中国人	Chinese
中国人	Chinaman
中国民航	CAAC
中国狗	chowchow
中国篮球协会	Chinese Basketball Association
中国银行	cnb
中场	midfield
中士	sergeant
中士	sargeant
中大陆	midcontinent
中央地	centrally
中央处理器	cpu
中央处理器	CPU
中央的	central
中央邦	Madhya
中央集权	centralism
中央集权者	centralist
中子	neutron
中尉	lieutenant
中尉职位	lieutenancy
中小企业	SMB
中山	Nakayama
中年	middleaged
中庭	atrium
中微子	neutrino
中心	center
中心	centro
中心性	centrality
中心线	centerline
中心线	centreline
中心装饰	centerpiece
中性	neuter
中性	unisex
中情局	CIA
中情局	cia
中提琴	viola
中提琴手	violist
中文	chinese
中断	breaks
中断	hiatus
中断性	interruptive
中断的	disrupted
中新世	Miocene
中暑	sunstroke
中暑	heatstroke
中期	metaphase
中村	Nakamura
中桅	topmast
中档	midscale
中档	midrange
中止	abort
中止	abeyance
中止中	aborting
中段	midsection
中殿	nave
中毒	poisoned
中毒	poisoning
中流	midstream
中点	middot
中点	midpoint
中生代	Mesozoic
中石器时代	Mesolithic
中立	neutral
中立	neutrality
中立主义	neutralism
中立主义者	neutralist
中立地	neutrally
中立性	neutralities
中立议员	crossbencher
中等的	middling
中篇小说	novella
中纬度	midlatitude
中线	midline
中继	relay
中继中	relaying
中继器	relays
中缀	infix
中背的	middorsal
中胚层体型	mesomorph
中胚层的	mesomorphic
中脉	midrib
中脑	midbrain
中腿	midleg
中行	BOC
中西部	Midwest
中西部人	Midwesterner
中西部的	Midwestern
中途	midway
中途	halfway
中途停留	stopover
中铁杆	midiron
中间	midst
中间	middle
中间人	MitM
中间人	bagman
中间件	middleware
中间体	intermediates
中间层	mesosphere
中间性格	ambivert
中间派	centrist
中间的	medial
中间的	intermediate
中队	squadron
中音	alto
中音	Altos
中音号	althorn
中风	stroke
中风	apoplexy
中风的	apoplectic
丰塔纳	Fontana
丰富	galore
丰富	enrich
丰富地	richly
丰富地	copiously
丰富的	profuse
丰富的	copious
丰满	plim
丰满	plump
丰满地	plumply
丰满的	busty
丰满的	buxom
丰田	Toyota
丰硕	fruitfulness
丰饶的	cornucopian
丰饶角	cornucopia
串扰	crosstalk
串接	stringing
串珠	beading
串珠的	beaded
串联	tandem
串行接口	SATA
串酒吧	Barhop
临床	clinical
临床	clinically
临床医生	clinician
临时	nonce
临时	interim
临时凭证	scrip
临时工	temp
临时工	temporaries
临时性	provisionality
临时方案	kludge
临时的	temporary
临时的	provisional
临终	deathbed
临终关怀	hospice
临街面	frontage
丸状的	pilular
丹	dan
丹	Dan
丹伯里	Danbury
丹佛	Denver
丹妮尔	danielle
丹尼	Danny
丹尼	Denny
丹尼什	denish
丹尼尔	Daniel
丹尼尔斯	Daniels
丹尼尔森	Danielson
丹尼斯	denis
丹尼斯	Dennis
丹毒	erysipelas
丹维尔	Danville
丹麦	Denmark
丹麦人	Dane
丹麦化	Danize
丹麦化	Danization
丹麦法区	danelaw
丹麦的	Danish
丹麦语	dansk
丹麦金	danegeld
为了	for
为什么	why
为何	why'd
为何	wherefore
为何将	why'll
为何已	why've
为何是	why's
主	dom
主义	ism
主人	host
主人	master
主修	majored
主修	majoring
主力	workhorse
主动性	initiative
主动的	proactive
主动脉	aorta
主动脉的	aortic
主厨	chef
主妇	goodwife
主妇	homemaker
主妇的	housewifely
主妇般的	matronly
主导地	dominantly
主导地位	predomination
主导的	dominant
主帆	mainsail
主帆索	mainsheet
主席	chairmen
主席	chairman
主席团	presidium
主席职位	chairmanship
主引导记录	MBR
主引导记录	master boot record
主张	asserts
主张	assertion
主张者	asserters
主持	hosted
主持	chaired
主持人	emcee
主持人	linkman
主持的	presiding
主控程序	MCP
主教	exarch
主教	bishop
主教制	prelacy
主教制	episcopacy
主教区	exarchate
主教座	cathedra
主教的	episcopal
主教辖区	bishopric
主日的	dominical
主显节	Epiphany
主机	mainframe
主机名	hostname
主权	sovereignty
主板	motherboard
主根	taproot
主格	nominative
主格	nominatival
主桅	mainmast
主桅顶楼	maintop
主流	mainstream
主演	starring
主电源	mains
主祷文	paternoster
主管	supervisor
主管	superintendent
主线	mainline
主线使用者	mainliner
主菜	entree
主要	mainly
主要	principal
主要地	mostly
主要地	largely
主要的	main
主要的	major
主观主义	subjectivism
主观地	subjectively
主观性	subjectivity
主观的	subjective
主角	protagonist
主讲人	keynoter
主轴	headstock
主页	homepage
主题	topic
主题	theme
主题演讲	keynote
主题的	themed
主题的	thematic
丽兹	Ritz
丽塔	rita
丽莎	Lisa
丽蝇	blowfly
丽贝卡	Rebecca
举止	comport
举止	demeanor
举起	heave
举起	upraise
举起的	upraised
举重	lifting
举重者	heaver
举重者	lifter
久坐的	sedentary
义不容辞的	bounden
义务	obligation
义务论	deontology
义警	vigilantes
之后	after
之后	afterward
之字形	zig
之字形路	switchback
之间	between
乌克兰	Ukraine
乌克兰人	Ukrainians
乌克兰的	Ukrainian
乌兰	Ulan
乌兹冲锋枪	Uzi
乌兹别克斯坦	uzbekistan
乌合之众	rabble
乌合之众	riffraff
乌头	aconite
乌尔苏拉会的	Ursuline
乌尔都语	Urdu
乌干达	Uganda
乌得勒支	Utrecht
乌托邦	utopia
乌托邦主义	utopianism
乌托邦主义者	utopians
乌托邦化	Utopianize
乌托邦的	Utopian
乌拉圭	Uruguay
乌拉圭人	Uruguayan
乌拉圭的	Uruguay'a
乌拉尼亚	Urania
乌木	ebony
乌木	calamander
乌玛	uma
乌班图	ubuntu
乌瓦乌姆	uvauum
乌苏拉	Ursula
乌诺	uno
乌里	Uri
乌鸦	crow
乌鸦	raven
乌鸦座	Corvus
乌鸦的	corvine
乌鸫	ouzel
乌龙茶	oolong
乍得	Chad
乏味	vapid
乏味	tedium
乏味事物	yawner
乏味地	tediously
乏味的	stodgy
乏味的	jejune
乐于助人的	obliging
乐天	Lotte
乐威壮	levitra
乐意	fain
乐意	willingly
乐意地	lief
乐意地	gladly
乐手	sideman
乐观	optimism
乐观主义	bonism
乐观地	optimistically
乐观的	upbeat
乐观的	sanguine
乐观者	optimist
乐购	tesco
乐趣	fun
乐趣	joys
乐透	lotto
乐队	band
乐队成员	bandsman
乐队指挥	bandmaster
乐队领队	bandleader
乐高	lego
乒	ping
乔	jo
乔	Jo
乔乔	JoJo
乔伊斯	Joyce
乔伊波伊	Joy Boy
乔克	chogh
乔克托	Choctaw
乔克托人	Choctaws
乔利埃特	Joliet
乔叟	Chaucer
乔姆斯基	Chomsky
乔安妮	Joanne
乔安娜	Joanna
乔尔	Joel
乔布雷尔	Jobrel
乔康达	Gioconda
乔恩	jon
乔恩	Jon
乔斯	Joes
乔普林	Joplin
乔木	arbor
乔治	georg
乔治	George
乔治城	Georgetown
乔治系统	giorgisystem
乔瓦尼	Giovanni
乔纳斯	Jonas
乔纳森	Jonathan
乔纳森化	Jonathanization
乔达摩	Gautama
乔迪	Jody
乖戾	surliness
乖戾	perversity
乖戾地	surlily
乖戾的	surly
乘	multiply
乘	multiplies
乘以	multiplied
乘出租车	taxied
乘务员	steward
乘务长	purser
乘坐	rides
乘客	pax
乘客	passenger
乘数	multiplier
乘法	multiplication
乘法器	multiplicator
乘法的	multiplicative
乘用马	palfrey
乙二醇	glycol
乙炔	acetylene
乙炔灯	acetylenelamp
乙烯	ethylene
乙烯基	vinyl
乙烷	ethane
乙状结肠镜	sigmoidoscope
乙缩醛	acetal
乙酰胆碱	acetylcholine
乙酰苯胺	acetanilide
乙醇	ethanol
九	nine
九人团	ennead
九倍	ninefold
九十	ninety
九十多岁	nonogenarian
九十岁老人	nonagenarian
九十年代	nineties
九日祈祷	novena
九月	sep
九月	sep.
九柱戏	skittle
九边形	nonagon
九边形	enneagon
九进制	nonary
九重奏	nonet
九重葛	bougainvillaea
九龙	Kowloon
乞丐	beggar
乞丐	mendicant
乞力马扎罗	Kilimanjaro
乞求	beg
乞求	begged
乞讨	cadge
